time,cycles,branches,instructions,cache-reference,cache-misses,bus-cycles
1.03809093,23846193,3273621,15254081,1908862,194659,247120
1.048366798,25491217,2152213,15025001,1681913,458062,254840
1.058660046,24244177,2696480,12640276,1771420,541457,243416
1.068947579,23980262,2672092,13316069,1425506,502251,251283
1.079213221,24468711,2119209,10979747,1550604,482480,245472
1.089505028,23620826,2608923,12232430,1745084,426990,243923
1.099826637,25181830,3439875,13187832,1298724,369666,262560
1.110060445,23354733,1688368,7793960,1105104,294722,244673
1.120355056,23934052,1534481,6658884,1207141,289329,242853
1.130601294,24252522,2728971,12730933,1344063,466454,242527
1.14078284,25157942,3854945,19033529,2143241,306113,251375
1.150993978,24808572,3071978,13841225,2099853,430876,243272
1.161234366,26330213,2153669,12543186,1060291,428637,261582
1.17164327,23715543,914009,8675605,1032631,320910,247703
1.181963337,23576222,1706653,8042277,1500244,345262,246706
1.192294796,25890596,2568210,14378759,1481352,481495,258560
1.202582759,24352422,3812697,14056299,1575723,465423,245103
1.212813432,23385917,2226624,10484880,1650758,447939,243903
1.223113205,25309073,2881151,16301281,1452136,475728,265051
1.233437064,22916642,2202049,10195833,1083877,510129,239834
1.243711154,22662542,2475025,12753074,1881857,379879,236072
1.253880055,23768438,2468950,13638735,1637788,332289,248346
1.264151659,22959783,2880814,12256192,1365045,526292,240046
1.274484944,22947707,2877064,10863626,1553913,462516,239673
1.28473681,24614356,2333227,12969397,1233884,418778,256498
1.295032534,23512289,2230907,13401049,1516067,456276,246440
1.305336882,23493235,2374200,11112676,1624237,462591,245376
1.315569503,24458734,2815323,14280952,1438792,464629,255529
1.325868383,23486227,2812764,12856824,1524256,445753,245168
1.336121278,23372491,1903079,9261107,1315954,484567,243816
1.346317189,25870170,4454606,23705994,1989651,327548,264648
1.356518476,24277636,2752585,12927781,2205780,467517,243810
1.366813303,24367684,1843544,6975809,986584,383585,245364
1.377085974,25537242,2553254,13567156,1523634,532477,255414
1.387386966,23529705,2471455,10892923,1418573,506311,245706
1.397677633,23037857,3064495,13920119,1687676,403092,240719
1.407976507,27792905,2620770,17673130,1439828,478440,290761
1.418216114,23406315,2182070,12082039,1381784,456091,244611
1.428451859,23364504,2400228,11182932,1513470,458260,244413
1.438813561,24524810,2333626,11706616,1100245,468592,256115
1.44898601,22041448,3145792,14727389,2316591,252802,224410
1.459184637,25416943,3927373,18180335,1839820,432594,253769
1.469445211,24371273,2569451,11878513,1644436,511468,244504
1.479766758,24554897,2326305,10843917,1574193,351031,246724
1.490150287,25170019,1604725,13537587,1360060,430409,258925
1.500452106,24511102,2738943,12739722,1676158,449739,244998
1.510715216,24468723,2384270,12989938,1653930,450944,245691
1.520958053,25528734,2808072,14332552,1530133,465024,255654
1.531230268,23954032,2636787,10705431,1445172,494551,244984
1.541481116,24533318,3460282,18162384,1530495,420357,254568
1.551646194,24203170,3383199,15797279,2122921,365075,243171
1.561833093,25423708,1983384,16447830,1792080,454565,254877
1.572071606,24298353,2430499,11308078,1368982,522891,243311
1.582358267,24495066,2887822,12792209,1838093,413972,245516
1.592638826,25994000,2892509,15383845,1498083,421362,260081
1.602889599,23959364,2829981,11999138,1338259,484663,244045
1.613152949,23421778,2579094,11704607,1706781,456108,245030
1.623446422,24586835,2730574,14013483,1518058,446378,256274
1.633725,23479212,2658724,10885308,1170543,474099,245692
1.643985206,23415767,2802044,13129171,2132590,310034,243942
1.654241904,25175232,4443670,22464514,1961207,395796,264185
1.664489716,23333439,2618530,12266896,1476714,518709,244980
1.674812904,25200244,2454887,12889728,1343000,504031,257780
1.685182832,24037885,1953284,9356288,1317351,323592,245308
1.695399525,23347492,2216248,10366656,1660182,461946,244574
1.705721982,25679840,2051156,14600737,1476169,458201,268280
1.716007762,23493790,2307485,10825615,1315143,359180,244894
1.726254925,23342223,1156285,5848256,1190454,273035,244568
1.736473051,23274842,1821230,8429772,1139535,313203,244000
1.746711183,24949055,2917842,16368910,1820786,412098,253946
1.756899303,24174498,3392712,16851990,2153435,291355,241944
1.767133416,24060177,1996466,9260418,1098616,417503,236576
1.777418394,26051265,1810080,13925315,1419761,530917,260921
1.787695206,24487184,2580686,12094266,1728325,416587,245399
1.797958609,24883989,3438602,15316306,1530009,482836,254473
1.808216614,23399645,2748341,12722301,1682573,412062,245494
1.818485506,23488526,2651015,12564574,1679221,419459,244869
1.828706671,25105761,2232814,17866100,1466698,472279,262918
1.838987191,23467940,1916167,9023882,1449251,558815,244862
1.849187759,24337123,3120513,15404406,1635422,462329,250532
1.859352614,24245794,3268063,16155100,2124177,298476,243111
1.86956038,24293297,2053082,9623242,1500652,378983,243050
1.879793554,26554239,2358646,14163854,1255427,458508,268788
1.890217101,24283155,2122829,9825502,1297375,333613,246388
1.900431826,23431599,2036910,10739154,1619107,353473,243765
1.910728731,25716849,2310549,12103971,1454230,440199,257508
1.921023528,23753197,2364223,10886075,1237855,382917,246210
1.931340744,23500764,2389408,10258811,1332842,415382,245781
1.941922755,26802791,2693142,14177098,1238814,475303,278942
1.952211296,22736660,1378711,8553681,1070011,435929,243359
1.962403798,23321737,3364813,15143324,2037816,355475,244800
1.972663396,25111787,3578186,16054689,1811561,497556,253375
1.982929534,24419084,2630499,12137062,1528429,502616,244788
1.993176725,24375321,2562090,11804393,1783349,436809,244045
2.00340681,26568251,3671758,20256962,1410497,497938,266443
2.013711896,24539844,2048458,9584086,1610426,483276,246010
2.023993765,24967691,2412452,13327405,1538027,459559,258434
2.034283947,24271425,2622822,12330195,1498503,432400,244657
2.044591747,23549674,2415297,9544999,1293276,519441,246682
2.05489094,23436275,3362602,15590309,1785197,448271,244376
2.065088222,25752485,3706142,18461543,2072416,368239,262288
2.075334231,23925404,3280121,13314967,1777729,511728,239160
2.085564494,24689385,1384654,7562940,948354,303228,246494
2.096007833,23792416,1463217,8664545,1343783,405176,247859
2.106274731,23447817,2064411,9633236,1646257,346257,245139
2.116510301,23355607,2399757,11365590,1361468,373553,244374
2.126747945,25746601,2570333,14602037,1168520,396197,269572
2.137064332,23490786,2318153,10878401,1738680,436330,245721
2.147359064,24561093,1759433,11705420,1336541,473572,256937
2.157615271,23346119,1938828,9007430,1271644,394996,243000
2.167816057,23598410,4345644,12054621,1485221,415732,242336
2.178004878,23964972,2241705,10431993,1457476,226114,243294
2.188243192,26532602,1972946,12821720,1327068,454987,265670
2.198544863,24576454,2535700,11834127,1482519,451547,246197
2.208802136,25450047,2974079,14646233,1596607,493301,255412
2.21906293,23854604,2518199,11102114,1433095,430603,239913
2.229300007,23748867,1970807,9195466,1520628,433909,237988
2.239540834,23778103,2321149,11883277,1423891,387156,238877
2.249839748,25770024,1507870,11090000,993609,427628,260979
2.260139788,22978827,2642980,12597296,1625393,314385,240201
2.270338463,25469148,2928983,18277362,2159061,260967,253295
2.280650042,25583935,2351111,10907457,1289646,369295,248086
2.291067228,24667921,1415077,6491646,1225521,493073,246648
2.301369531,24188120,2755724,12793349,1392183,438419,245106
2.311591637,25765472,2438117,15467630,1439560,503779,270587
2.3218689,23443796,2364915,9877300,1452620,475952,244994
2.332165718,23476518,2475675,11406176,1399424,450397,245165
2.342404717,24407544,2475084,12342522,1439756,481373,255190
2.352730811,23579765,2134310,9947486,1165044,525563,246398
2.363035854,23443264,1876137,9254680,1295586,411201,246120
2.373305183,26142485,3146143,17752128,1717239,395140,272143
2.38352944,23770288,2979235,12646913,1675922,505987,243792
2.393858483,24512041,2957067,13473607,1452578,487857,245653
2.404156727,24723036,2755573,14451784,1608576,443256,254730
2.414410319,23448237,2234859,11365447,1509603,453209,245705
2.424660574,23392142,2722066,12658129,1399972,410609,244104
2.43492706,26187211,2469676,17841079,1514384,504789,274182
2.445184671,23394677,2462588,11461666,1783362,468638,245101
2.455525639,24614667,2439198,11795571,1154986,497131,257697
2.465817991,23983853,3820744,17286728,2113582,394242,244663
2.475992297,24065940,3394976,15736695,1951091,409059,241540
2.486514948,27418327,1051438,14658200,1015418,371557,282431
2.497213964,22494572,1837686,8620080,1181355,424451,244805
2.507480184,22378437,2086260,11310427,1651074,410593,244282
2.517706074,24521619,2537440,12958049,1495367,458242,256576
2.527982949,23467587,2791759,12412171,1525588,456056,245865
2.538288798,23519151,2733240,12627062,1532019,468512,245257
2.54858031,26315369,2079230,13341315,1227065,352437,276203
2.558865698,23508204,2176401,9475733,984526,380788,245126
2.569143646,22812802,1353315,6313600,1066823,333909,244366
2.579366816,24229574,2712916,15966226,1760382,324825,253944
2.589545383,23268868,3461511,16095749,2026571,220781,243755
2.599888622,23422911,1908544,8986461,1556480,335204,244793
2.610173446,27127020,1472704,11837073,969605,392163,271726
2.620402862,24186603,2835979,13259709,1689432,465735,241730
2.630653707,24292350,2349217,12563093,1652524,457190,244214
2.640947119,25444551,2195542,11537876,1297136,458765,254937
2.651203276,24453144,2287945,9205644,1248151,325684,244880
2.661459089,24376989,1516016,6905896,1236861,282076,244214
2.671733128,23901770,1831568,8480192,1054944,423345,245806
2.681999765,26592769,3133717,18273792,1519486,465102,273947
2.692242669,23521670,2088017,9635606,1568439,450339,243125
2.702482471,23911833,2662676,11778642,1509721,521610,241895
2.712759173,25335740,2513770,12436121,1366702,548885,253852
2.723038345,24009608,3002317,12657985,1621026,457858,245339
2.733315594,23449585,2983464,13418626,1734044,414119,244990
2.743593398,26596979,2837169,16372317,1400847,468257,279142
2.753832877,23356815,2843303,11201057,1663952,469514,243396
2.764052333,24384400,2696694,14127647,1413594,511152,254024
2.774332764,23462976,2220788,9990111,1316856,481563,245257
2.784526317,23521641,3355365,15550402,2174711,372995,238742
2.794747334,27095408,3178321,18531503,1561902,415311,271066
2.804978931,23809521,878568,4546537,1393600,379413,239341
2.81530777,23590564,1818994,8454564,1211566,399946,245497
2.825538574,24325759,3010322,16126490,1511805,447287,255861
2.8358331,23520769,2666897,12366611,1511235,480647,247012
2.846276606,23449048,1770694,9564356,1574608,467146,244957
2.85654322,49071737,4675949,38884427,1165883,551679,515397
2.86690406,23746428,2407718,12327707,1418954,459510,246189
2.877218363,23546948,1607287,7864409,1166451,516522,247010
2.887547306,23605840,2147875,9977808,1268273,327658,244219
2.897770079,24944146,2561046,16145367,1771931,480334,260767
2.907991396,23281210,2517060,11770654,1563307,436525,244586
2.918248264,24433146,3270075,14697657,1480081,474845,257040
2.928528572,23433156,2741615,12686535,1461747,417905,245418
2.938753564,23388156,2603329,12346984,1753127,432598,244104
