time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010177503,29975542,inception_v3,2917883,15133856,1270115,573424,245330,3495037,0,0
0.020339039,0,inception_v3,0,15563821,1942842,520794,256428,5060193,12327,16818
0.030538503,30779662,inception_v3,5047649,23953722,0,0,253326,3243048,13468,32044
0.040753947,29479512,inception_v3,3947118,18765728,2303002,605600,243685,0,3192,27674
0.0509751,0,inception_v3,3925078,20897215,2141714,552837,244534,4194517,0,0
0.06117919,29423842,inception_v3,0,0,2336579,602592,243262,4349453,21863,28938
0.071336707,30113415,inception_v3,4798018,22544853,3259404,170612,217717,3933780,22065,31245
0.081527189,30488967,inception_v3,5177381,25181796,2697321,316115,243851,5941488,0,0
0.091720502,0,inception_v3,0,23261167,3593215,303752,279218,5123247,17912,13201
0.101945355,33338713,inception_v3,5958458,27699425,0,0,244267,5193422,25948,33838
0.112127484,34472140,inception_v3,6013089,28614613,3365116,195718,242520,0,18259,31401
0.122313818,0,inception_v3,6465016,29329679,3237480,318279,244052,5679544,0,0
0.132495209,36638152,inception_v3,0,0,4220963,255650,258530,5987612,24901,34876
0.142694457,34540186,inception_v3,6258378,29945406,3310387,0,0,5211792,26239,36187
0.152878776,35976434,inception_v3,5851261,28646067,3378622,278529,251971,6197620,5036,26543
0.163038808,0,inception_v3,0,24367799,3691370,297794,261233,5642960,22605,9272
0.173224658,34469506,inception_v3,6371297,29504550,0,433784,244027,5740710,25321,34926
0.183406347,34460302,inception_v3,5299893,25043644,3236544,367124,235012,0,23676,34930
0.193578199,0,inception_v3,5137105,23994511,2821757,546333,245457,5483000,8213,15504
0.203770881,33085053,inception_v3,0,0,3536098,286013,243678,5256746,25186,30391
0.214021811,34786148,inception_v3,5943857,27845637,3227014,0,244827,4475601,24078,32828
0.224199679,33782967,inception_v3,5252584,23722318,2991456,329675,241824,3160980,3604,33579
0.234377507,0,inception_v3,0,27595951,3101919,282281,246139,5679815,30544,15655
0.24454452,36043174,inception_v3,5251777,24247243,0,418807,252592,5971105,25930,35768
0.254711163,37210399,inception_v3,6302990,29587708,3444926,310798,250653,2918741,23130,34400
0.264891009,34959327,inception_v3,5711329,27584118,3215917,278507,246065,6288443,9498,17494
0.275063053,0,inception_v3,0,0,2846754,350072,243760,5670971,29480,37459
0.285241377,34923133,inception_v3,5845762,27147391,3502121,0,223275,5895436,26947,37937
0.295410991,34418253,inception_v3,5799557,27529593,3302989,264093,242830,4289211,0,33837
0.305623107,35667904,inception_v3,0,30544786,3449915,329919,259456,6035511,3863,8042
0.315806779,34051069,inception_v3,0,0,3597772,283248,247125,5915929,27472,38405
0.325993075,36003362,inception_v3,6221287,29105254,3152606,0,235646,5428602,26693,37110
0.336182087,37081002,inception_v3,5865781,28507933,3319617,359227,260580,5457011,4203,27484
0.346375503,30827857,inception_v3,0,24270033,3432129,244143,246353,5795621,22753,15629
0.356555375,34439820,inception_v3,5625816,26339755,0,305987,243986,5778581,28355,37811
0.366741186,88458651,inception_v3,14951205,71350490,6944889,1189459,624528,5641824,11298,24309
0.376928732,34546620,inception_v3,5469092,27340951,3371344,253318,246779,6393684,8332,14714
0.387120173,33129565,inception_v3,0,0,3643074,241209,255055,6054265,25197,31150
0.397318232,37316698,inception_v3,6470458,30423263,3433230,0,253540,5070072,26974,37427
0.4075015,34475561,inception_v3,5967299,27680786,3283573,204154,243474,5439475,0,30801
0.417650487,39502716,inception_v3,0,34786385,3521321,474442,289982,6360656,21392,12993
0.427838807,37021701,inception_v3,5711398,26805337,0,325537,261867,6059708,26280,36338
0.438037136,37633195,inception_v3,6348208,29830188,3246526,454290,253772,3069489,29648,38650
0.448228749,41802511,inception_v3,6525380,32138219,4063870,386854,297717,5749267,5140,11805
0.45841437,35639836,inception_v3,0,0,3298438,303694,262594,6099851,26174,31710
0.468605312,34494479,inception_v3,6052407,28102754,3017898,0,244101,5760796,28109,38084
0.47884375,37708576,inception_v3,6161965,28914291,3518443,264635,265854,3077118,2897,27869
0.489031743,35812215,inception_v3,10990585,29341459,3439579,324391,264204,5598456,18816,6107
0.499163669,37318021,inception_v3,0,0,0,234381,263318,5864825,26739,36096
0.509351782,42194185,inception_v3,6918555,34705217,4545328,0,259818,3489258,23160,38144
0.519541436,39242466,inception_v3,6815825,33567268,3651030,339256,279842,4158738,4703,26281
0.529729611,0,inception_v3,0,23995265,3423690,203391,244108,5890362,22782,0
0.53990879,39708115,inception_v3,5065926,40914482,0,548484,284832,5994553,28453,37274
0.550094498,37663483,inception_v3,6261683,30934819,3653690,219132,0,3185567,18233,35056
0.560292871,41559210,inception_v3,6436407,34535717,3807084,460782,301615,6408978,5183,12101
0.570451512,42534915,inception_v3,3718233,65812418,4248713,436521,311899,6415206,22385,26841
0.580622474,37489544,inception_v3,6363307,32894726,3302507,0,267162,5331029,27413,39912
0.590806638,40262224,inception_v3,6548583,32735525,3859551,349875,287162,3593596,4180,30925
0.600979729,38534360,inception_v3,3607662,33854583,3847522,329306,285027,6434075,13919,8264
0.611158327,35638140,inception_v3,6327874,46757417,0,481845,252020,5818610,27624,38743
0.621348033,42057720,inception_v3,6397408,32187955,4121735,239328,0,3668424,21236,39659
0.631526944,43836148,inception_v3,6668076,35883966,4187291,445656,315956,5868752,5285,12002
0.641720158,37075954,inception_v3,3255470,52104370,3728103,318249,278561,6496059,22929,27041
0.651872683,38457279,inception_v3,6594440,35338682,3865270,0,274998,5764610,27751,38413
0.662051813,34723561,inception_v3,5926942,27661965,3287246,223617,246733,3168802,7636,34677
0.672241223,36150331,inception_v3,4408814,31375393,3665804,334732,267240,6045694,14807,6357
0.682439234,40254341,inception_v3,3092615,55316987,0,471060,290330,6280032,28205,36318
0.692626665,44077899,inception_v3,6987403,36254915,4304016,278013,0,4238617,20521,37282
0.702825489,37221043,inception_v3,6325622,31303209,3565674,316869,266572,5754423,2928,6338
0.712984314,38091952,inception_v3,3491132,48581282,3719177,330170,284609,6275442,24941,27801
0.723126002,40914939,inception_v3,6037357,34598771,0,0,294023,5898144,24859,37303
0.733309293,42180492,inception_v3,6893594,34471714,4031176,335597,298283,3639761,5194,33624
0.743482163,0,inception_v3,4752188,25261338,3212252,308011,243521,5978357,19913,0
0.753652003,43785298,inception_v3,3615506,54156625,0,688157,315838,6264244,28741,38317
0.763865042,39154077,inception_v3,6421554,32171303,3813367,271733,0,5254679,22333,39563
0.774040359,38353765,inception_v3,6825223,31965483,3624836,304369,276079,4485360,3993,10616
0.784232708,36435572,inception_v3,3253375,50530342,3668248,337166,280925,6698114,21577,9495
