time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010185012,29462521,densenet169,3266980,16226609,1328820,573565,245090,3462795,0,0
0.020385906,0,densenet169,0,17457202,1795094,503113,244071,5056241,12026,21467
0.03055914,32455324,densenet169,4585004,23527540,0,0,266700,3143717,13019,37086
0.040761796,29078627,densenet169,3966567,18756186,2118370,653286,242295,0,23349,23631
0.050972862,0,densenet169,3774388,19859466,2390358,438234,243717,3937638,0,0
0.061180381,29369249,densenet169,0,0,2473242,542073,243947,4200150,20419,33718
0.071372329,29425542,densenet169,4902083,23535878,2831637,0,0,5210182,19223,29372
0.081559693,32242935,densenet169,5182182,24034909,3071700,273398,256188,3900470,4353,18148
0.091719693,0,densenet169,0,23008967,2777093,233472,242138,4968931,28058,20146
0.101910464,33459929,densenet169,5018961,23676552,0,0,243810,5885110,24007,34130
0.112096645,35526220,densenet169,6258853,29522293,3195075,306257,242187,2597918,21806,33395
0.122283623,0,densenet169,5357087,27693658,3472204,245725,246274,5932709,8164,16779
0.13246367,35031549,densenet169,0,0,2928754,233543,250501,6017376,27011,34676
0.142650069,34492610,densenet169,5694134,26610975,3792397,0,0,4793625,22052,34552
0.15283407,34847389,densenet169,5987413,27447883,3188791,305970,244997,4419713,7521,30167
0.16301753,0,densenet169,0,27328265,3320278,234107,249060,6119418,20608,12499
0.173197926,35180452,densenet169,4934302,24456389,0,330270,247150,5893576,26308,37188
0.183356236,34390000,densenet169,5802240,27061362,3245787,498293,0,0,20613,36768
0.193531365,35046273,densenet169,4761736,25424120,3215163,434728,250832,5645073,4395,11796
0.203695941,0,densenet169,0,0,3440158,260288,249425,6239940,20697,28452
0.213886233,35657624,densenet169,6120694,29004862,3298838,0,225585,5269943,25661,38129
0.22406726,34477916,densenet169,5958409,27683571,3287284,234235,243437,5433056,0,30391
0.234251189,0,densenet169,0,26141778,3342446,268226,249877,5709453,28029,13287
0.244434768,34929586,densenet169,5523909,26046316,0,304280,245798,5934875,25496,37495
0.254616783,35327182,densenet169,6306513,29585192,3255382,245418,221467,3087193,20600,35146
0.264808145,34999615,densenet169,5402431,27055936,3387957,222557,245964,6434942,6912,16023
0.274988194,0,densenet169,0,0,3635482,213170,249933,5731864,25326,32754
