time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010182124,26746369,densenet121,4611805,20123813,1718709,452936,265021,2831676,0,0
0.020406365,0,densenet121,0,4882547,1179609,604959,244510,2701744,13311,18970
0.030647468,24324618,densenet121,2976332,14067571,0,0,242216,3015241,12227,18702
0.040861457,24588105,densenet121,2998659,14097223,1891860,314347,242050,0,15479,17522
0.051102702,0,densenet121,3911567,18974068,1942855,424662,244246,3347717,0,0
0.061281587,27065180,densenet121,0,0,2583544,219381,242661,3920421,18733,23454
0.071496459,27258393,densenet121,3358236,15646297,2350155,0,0,3031036,14443,22982
0.081706073,27153954,densenet121,2671285,14412875,1721780,369953,241937,4983367,0,24822
0.091907283,0,densenet121,0,22624057,2194190,356403,252167,4082987,18271,12644
0.10215076,26777776,densenet121,4710844,21875271,0,632245,245074,3140845,18212,24234
0.112345155,27733571,densenet121,4367357,20999617,2614121,357993,239310,0,19376,25196
0.122562644,0,densenet121,4883936,24971753,2615596,272366,251368,4836322,0,0
0.132749792,29159303,densenet121,0,0,2698047,319361,243943,4620333,23243,29797
0.142951091,30552403,densenet121,4851910,23430844,3000750,168212,209091,5239426,20230,31386
0.153237693,31735022,densenet121,4142108,20306765,2312902,598164,255010,3031742,0,32117
0.163456226,0,densenet121,0,12899930,1262839,538226,238314,1911226,0,0
0.173695543,26187617,densenet121,0,0,1128570,355817,240488,2573066,14706,26820
0.183898336,27807042,densenet121,4361853,18351858,1822235,473567,247914,2770147,16899,24825
0.19421136,0,densenet121,0,9390802,1773278,556953,244077,2756494,16246,15393
0.2044569,28339902,densenet121,4823062,25585866,1709128,144338,243226,3504852,19186,25733
0.214652874,29159097,densenet121,4728841,22050965,2782188,280293,243761,0,0,28775
0.224849358,25476531,densenet121,5009948,25507958,2580602,305989,248698,5152547,37108,16197
0.235046238,31277497,densenet121,737771,47899726,568426,157922,249963,5169962,23871,31628
0.245250404,30822524,densenet121,5337145,24317960,3228358,74768,0,4820046,16270,31446
0.255443212,33374453,densenet121,5972125,27371841,3032036,276838,249032,4878552,0,31961
0.265632979,26759007,densenet121,7325495,38654333,3011773,255950,249981,6044600,25193,30013
