time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010236179,24008130,densenet201,2465240,12435960,1056641,469840,243861,2751196,0,0
0.020495592,0,densenet201,0,9765142,1416102,510405,248814,3087469,9344,20434
0.0307485,27089748,densenet201,2916642,15493216,82157,0,274044,4642729,13157,23998
0.040990964,24573213,densenet201,2401768,11709473,1402020,600899,244357,0,0,34240
0.051234914,0,densenet201,4546619,20549938,1852867,448704,244117,3301983,21282,0
0.061454147,26423476,densenet201,0,0,0,313459,243584,3705483,19410,24425
0.071648446,27678402,densenet201,4514459,21137954,2854988,418335,0,3964250,21244,28113
0.081844099,29478549,densenet201,5203940,23891900,2764383,277192,243609,4767838,0,0
0.092040949,30796923,densenet201,2395835,24672537,3186343,272702,260112,5123482,21123,23740
0.102221384,30525308,densenet201,4763391,22430694,0,0,244321,5019704,25464,31471
0.112373341,31329164,densenet201,5394096,25766049,3047050,198440,242509,0,19615,30688
0.122526092,31052162,densenet201,4655683,27564393,3139363,261207,258515,5557957,4208,9914
0.132681504,34337810,densenet201,0,0,3192138,246150,242179,5842223,27764,34169
0.142835525,34618984,densenet201,5962780,28751218,3119595,108745,0,4918419,28431,36536
0.153015111,35023259,densenet201,5964569,28998857,3325956,267217,250443,5276626,6135,12647
0.163193223,29228145,densenet201,3454166,29664011,3342189,244499,247428,6005224,27359,34890
0.173369765,35018336,densenet201,4383396,26411070,0,0,250470,5872567,26370,33300
0.183529046,34378332,densenet201,5181681,24208490,3148766,358250,241070,0,23677,32350
0.193712751,29413295,densenet201,5383460,27991828,3278151,370887,249528,5718910,8311,16818
0.203911882,33302692,densenet201,3210865,54959139,2933963,322113,250022,5569593,21863,25483
0.214124851,32034405,densenet201,5184434,26199593,2953244,0,0,4271733,26456,32257
0.224317335,31643575,densenet201,3792680,18368318,2482534,469207,243757,4671819,0,28740
0.234511099,27235389,densenet201,3069857,29593872,2751308,290278,251917,5453309,18233,12502
0.244701353,32267298,densenet201,5418770,33211117,0,454746,250372,5012086,25464,32665
0.254851626,32342529,densenet201,5482412,24962484,2993765,250553,225869,0,25560,26075
0.265015953,28195477,densenet201,5981460,28380843,3178195,238738,246124,5570746,8109,16028
0.275184202,33228709,densenet201,3311980,53241103,3726304,196825,251072,5883588,26490,35364
0.285350236,34965022,densenet201,5918825,29357995,3186168,0,0,6277238,28420,37684
0.2955124,34411105,densenet201,5820398,27530323,3286366,208157,243153,6942025,0,33512
0.305693729,31759986,densenet201,3515894,29809810,3172803,263482,252465,5778222,30996,15578
0.315862434,34919938,densenet201,4512828,29049715,0,202167,249440,6208941,27741,37315
0.326027429,35114792,densenet201,6118066,30275382,3094241,255725,0,0,26268,35523
0.336212322,33603557,densenet201,5246070,28782797,3483474,228251,249186,6292661,7125,15210
0.346401659,31208678,densenet201,3176578,54277931,3167600,203208,250749,6164500,28201,34272
0.356579834,34453281,densenet201,5499550,25823694,3231039,0,244047,6196386,29547,36201
0.366740137,34991822,densenet201,5941045,29363475,3311354,201607,249474,0,7583,30886
0.376926301,31144600,densenet201,3387972,32622653,3173088,279447,250354,6247297,27124,12421
0.387122022,35161181,densenet201,6606879,51013664,0,211948,252462,5392916,25237,29977
0.397310106,34963442,densenet201,5110358,25601020,3251061,344058,0,0,24605,33537
0.407498385,34522691,densenet201,3369952,16948923,1806907,598315,240768,4184843,0,0
0.417678849,0,densenet201,0,0,2697359,412686,244090,3550152,19548,16908
0.427922738,28781904,densenet201,3469108,19438086,2105971,0,260760,3015852,12279,18381
0.438173787,25205599,densenet201,2319312,10850713,1725898,492799,244904,0,0,28110
0.448567307,22569917,densenet201,2607425,14486097,1572817,544594,260648,3004139,12240,9050
0.459071727,24984159,densenet201,2837155,12046619,0,409257,249891,2433738,10090,16486
0.469331497,24486562,densenet201,2367132,11146448,1531587,531082,0,0,21816,22005
0.479611364,24893153,densenet201,2224630,15473865,1504325,555399,259474,3645012,3065,6919
0.489846373,0,densenet201,0,0,1283351,382044,244225,2028201,8988,14851
0.500157772,23568133,densenet201,2612917,12187621,707842,0,247966,2117474,17697,20744
0.510537582,24726251,densenet201,2958293,15628996,1708922,576672,264201,0,3429,17954
0.520786063,0,densenet201,4352270,20025369,1685660,430414,244717,2933886,21485,0
0.531045682,25833750,densenet201,1968498,33288314,0,583087,264184,3985768,17641,23190
0.541262398,24316996,densenet201,2610830,12204696,1649209,517060,0,0,12948,18212
0.551483796,24455288,densenet201,3487488,14866010,1992959,338924,243738,3039786,0,0
0.561723387,21440963,densenet201,2295325,39161644,1980604,591708,255511,3276477,14892,21308
0.572019747,25005352,densenet201,2641391,12452296,1843103,0,248737,2979710,17173,22401
0.582410492,26640481,densenet201,3512601,18959279,2015815,433082,264739,0,4168,17985
0.592834782,0,densenet201,609302,14839699,1670893,555526,247133,3027243,22324,0
0.603091435,26242812,densenet201,1905789,26471137,0,347200,256897,3398040,14834,19622
0.613402911,25282856,densenet201,3318027,15378153,1882223,535547,0,0,13809,18329
0.623621737,25443579,densenet201,2624198,11850089,1727088,421967,243295,2442199,0,0
0.633844519,24381188,densenet201,2056289,36371532,1785863,557487,264159,3491393,13949,14419
0.644039858,24318501,densenet201,3204879,14999108,1799545,0,244388,2717603,18380,22602
0.654297219,25758545,densenet201,3259647,17036731,1820504,561074,257412,0,3944,19559
0.664550036,0,densenet201,3066189,15689036,1966987,380001,244474,3508047,22030,0
0.674823869,27178426,densenet201,2145210,37094789,0,561520,265653,3049387,13767,20454
0.685013883,25682731,densenet201,3202607,15003705,1863802,592738,0,0,16792,22760
0.695221075,25719028,densenet201,3069788,18382340,2065734,492392,254199,4233275,4235,8760
0.705483111,0,densenet201,0,0,1856245,450523,244610,3339924,10190,10985
0.715726426,25162807,densenet201,3219381,15041313,649542,0,245923,3197810,20663,25528
0.725979154,30136188,densenet201,3262306,21545900,2055239,678004,296418,0,2143,17841
0.736254383,0,densenet201,4805155,21922435,1949662,470459,245232,3150843,12847,0
0.746583739,26080742,densenet201,2474089,41017804,0,499358,254753,3419733,16482,23326
0.756843702,24672068,densenet201,2922231,13573082,1925320,386248,0,2308766,12913,19042
0.767058972,24560883,densenet201,3147472,15223502,1842793,349341,242656,3362981,0,0
0.777295033,23232715,densenet201,2348220,39969514,2025032,580166,255070,3470687,13517,19936
0.787522067,26227696,densenet201,3231589,15096666,1822734,0,243483,2905436,19268,24912
