time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010296307,23292589,mobilenetv1,2022030,10552721,954436,454948,240092,2228439,0,0
0.020614197,0,mobilenetv1,0,0,805311,546906,247515,3092333,5843,14963
0.031019168,25586710,mobilenetv1,2102209,11322610,0,0,259846,2833320,8621,20520
0.041223962,25467681,mobilenetv1,1870617,9280213,985299,571974,251635,0,9036,25823
0.051527798,0,mobilenetv1,2966122,18464444,1507809,557019,245274,3929252,0,0
0.061912544,24394830,mobilenetv1,0,0,1520741,642240,243712,2322889,15827,19349
0.072098091,23935255,mobilenetv1,2985259,14005038,1828370,0,0,3904210,10953,18814
0.082317242,24046951,mobilenetv1,2768883,13309841,1790974,540789,240919,3196870,0,18452
0.092605337,0,mobilenetv1,0,9190800,1694321,532707,244999,2493354,13567,0
0.102992465,24156985,mobilenetv1,3112949,14337484,0,347932,242633,3335301,10595,17299
0.113228981,24402709,mobilenetv1,3107882,14622174,2185099,342539,231395,0,11779,23656
0.123545761,0,mobilenetv1,3210770,12197072,1622283,523709,241879,2892482,0,0
0.133751996,23935301,mobilenetv1,0,0,2021690,550049,240930,3239976,15155,24190
0.144074412,24389260,mobilenetv1,2877968,13494980,1550347,0,0,1786612,14527,18942
0.154311601,23995837,mobilenetv1,3509872,16391287,1736369,470402,240809,3041609,0,16167
0.164505574,0,mobilenetv1,0,10995508,1841091,525840,240025,2854056,16502,0
0.174852956,24598987,mobilenetv1,2661397,12388595,0,472364,247752,3078999,13791,19179
0.18525674,24354215,mobilenetv1,3079464,14470713,2078891,421267,226310,0,6215,21412
0.195550575,21233410,mobilenetv1,2898030,15803373,1745000,565507,249653,3213021,6008,14418
0.205782386,24189124,mobilenetv1,0,0,2036791,437685,244488,2989718,14453,22458
0.215996146,24373236,mobilenetv1,3839389,17787327,2061540,0,0,3243639,14614,19564
0.226184358,24321347,mobilenetv1,2601589,12774302,1633046,537459,243216,3680977,0,23050
0.236394357,0,mobilenetv1,0,15895513,2391058,412976,243640,3196080,11683,0
0.246632442,24405498,mobilenetv1,2207349,31642927,532763,419900,258364,3477406,12694,18398
0.256874338,24579482,mobilenetv1,2723062,12819361,2025318,194680,0,3315533,15533,21285
0.267153071,24525622,mobilenetv1,3450018,16003497,1943241,478069,246322,3309769,0,0
0.277501286,0,mobilenetv1,0,17101101,1613746,527211,246414,3133685,18656,23459
0.287714424,26337415,mobilenetv1,2059062,32694370,457924,120229,271314,3481543,13861,19162
0.297980826,24472737,mobilenetv1,3359439,15637065,2391440,229639,0,2653939,9975,20574
0.308248732,24967308,mobilenetv1,2956186,14543641,1784913,476487,245527,3508682,0,0
0.318583508,0,mobilenetv1,0,19825151,1782496,461730,245145,3172020,12252,13570
0.328836926,24403861,mobilenetv1,3112463,14500895,0,0,246110,2698108,16751,22508
0.339078711,28622174,mobilenetv1,3056842,20536261,1545252,419479,275292,0,11488,19991
0.349298532,24450077,mobilenetv1,3633083,16724161,2193771,432001,243556,3510879,0,0
0.359534483,0,mobilenetv1,0,0,1408878,530138,244683,2737618,11746,16327
0.369776245,24422746,mobilenetv1,2590088,12192455,2303062,0,245791,3719501,14444,21446
0.380336185,33338043,mobilenetv1,3825641,29829696,1786485,591136,334426,0,0,19090
0.390559803,26989541,mobilenetv1,2057475,12791454,1686141,581644,287254,3677941,14800,13259
0.400774467,25447019,mobilenetv1,0,0,0,211917,244823,4101358,18623,24963
0.410970785,26581615,mobilenetv1,3712435,17520276,2115782,593163,0,2546412,19108,25904
0.421609621,36362125,mobilenetv1,3718825,31209792,2117882,458932,319590,4892968,0,4110
0.431859429,31289595,mobilenetv1,2798422,18454246,1985660,597384,277491,4046940,19527,24136
0.44210203,27600243,mobilenetv1,4049488,19265551,2449029,0,245356,3277381,15269,22899
0.452301334,27730342,mobilenetv1,3848582,17963535,2435791,375714,243033,0,0,24250
0.462506103,37524376,mobilenetv1,3156312,37771821,1942878,692905,356843,4780863,0,9640
0.472724893,0,mobilenetv1,0,0,2059995,495442,244239,3089475,15760,24156
0.496887802,60323662,mobilenetv1,7522298,35742812,4630663,1182478,573599,7836919,33695,50023
0.507086437,38301373,mobilenetv1,2761999,44060169,1402909,501772,394096,4189267,20540,33793
0.517320293,24428546,mobilenetv1,3030860,14129928,483119,0,245494,3594978,16191,22065
0.527793706,24664813,mobilenetv1,2923327,13744501,1560972,540987,243761,0,0,21736
0.538014162,0,mobilenetv1,2771918,15919177,1740409,447426,241022,2749939,18682,0
0.548320726,24406049,mobilenetv1,0,0,0,518081,243905,2883005,15772,21709
0.558539509,36474464,mobilenetv1,4239234,29926005,1099593,207240,353921,3465296,17367,27511
0.56875041,24750605,mobilenetv1,3953275,18462879,2475551,196427,242805,0,0,27592
0.57899648,0,mobilenetv1,4516520,22938706,2483465,282956,243667,4684073,18039,0
0.589393409,55040258,mobilenetv1,4197768,71585513,858151,319666,453948,6687436,32384,53486
0.599610352,29979533,mobilenetv1,4810086,22419523,2998761,53441,246805,4856400,20967,29998
0.609821459,30494638,mobilenetv1,5337813,24874422,2935999,252628,244046,4421038,0,30868
0.620025836,86132969,mobilenetv1,0,96858797,4377220,638353,671057,8048291,5670,11760
0.630234315,31401101,mobilenetv1,0,0,2669448,316788,243688,5335458,19969,29499
0.640397511,85812030,mobilenetv1,15192469,70356775,1815674,516535,647427,6550615,21091,44215
0.650604136,32112724,mobilenetv1,4701163,22340513,3065997,305243,244093,5365249,0,31632
0.660796876,0,mobilenetv1,0,30022113,1928134,302560,243217,7747556,24545,0
0.670948557,33882174,mobilenetv1,5502343,24629420,0,62685,242216,5498406,30770,9967
0.681109689,34415957,mobilenetv1,5570696,24915190,4022604,41549,237057,0,26780,16292
0.691274172,0,mobilenetv1,5526847,24503631,3988626,165237,243685,5358105,0,0
0.701451509,34107147,mobilenetv1,0,0,3906252,220228,243926,5237029,26305,18301
0.711647275,34518088,mobilenetv1,4934580,23069317,4790774,0,0,4715557,22854,29214
0.721835275,34510733,mobilenetv1,5682116,28182852,4229715,251727,243864,5744237,0,52274
0.732029947,0,mobilenetv1,0,25008299,1249552,377322,244355,6722313,6455,0
0.742230643,34248472,mobilenetv1,8252190,40547313,0,684412,244408,4891157,18148,29592
0.752449733,32549476,mobilenetv1,7147059,31710562,2198813,560309,0,0,8601,14819
0.762647178,30468884,mobilenetv1,5028054,25733336,2843936,316422,243646,5672425,0,0
0.772905871,0,mobilenetv1,0,0,2399600,363748,211248,5604825,10324,19810
0.783214774,0,mobilenetv1,0,0,0,0,0,0,0,0
0.793496196,5738658,mobilenetv1,0,0,0,0,109446,1098740,2966,1658
0.803782892,15151850,mobilenetv1,5202894,23025614,1002284,0,0,4285763,1568,4301
