time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010152772,30065925,densenet169,2509748,11530892,1065963,421761,241474,1885225,0,0
0.020317018,0,densenet169,0,13540065,1134707,428911,243755,3563032,6480,31340
0.030492008,34573959,densenet169,3200158,17237452,0,0,266533,5224558,14194,33344
0.040646561,31121760,densenet169,4167431,20065822,2060410,583286,240789,0,1417,34987
0.050858214,0,densenet169,3334520,16931506,2614697,538900,244411,4193620,0,0
0.061062471,29304505,densenet169,0,0,2947283,465533,243855,3869980,14294,23004
0.071250782,29819647,densenet169,4991519,23875430,2821421,0,0,4391620,22827,31546
0.081438267,30413919,densenet169,4968900,24462060,2907276,235760,242997,6586129,0,27577
0.091599223,31027387,densenet169,2485468,25314547,3089276,330153,257714,5233581,21614,12009
0.101795779,32466714,densenet169,6565961,30533152,0,116639,244261,5343244,22459,32571
0.111970704,33377035,densenet169,5359349,26945458,3308335,276844,243194,0,26910,36465
0.122143266,0,densenet169,6036885,26357935,3309311,222193,243419,5450640,0,0
0.132305701,33013616,densenet169,3964458,52570845,3079814,282768,247498,5882319,27702,40233
0.142486777,35464936,densenet169,5708340,29394960,3211234,0,0,6707700,22907,33737
0.15265502,34822013,densenet169,5658535,28631580,3450615,243470,247691,8314359,5916,41229
0.162839158,31816903,densenet169,3402457,26695348,3360794,308399,254135,5661765,21493,15074
0.173020306,34437313,densenet169,6075190,28137429,0,330443,244003,5707540,25994,35499
0.183213886,35217025,densenet169,5707577,27901919,3356989,389984,0,0,21531,33242
0.1933706,34068906,densenet169,5552594,27161610,2987404,502382,253719,5720438,5865,13753
0.20354268,30066416,densenet169,3138538,50314273,3356357,298620,250043,5721895,25626,32862
0.213712106,35515451,densenet169,5930778,30726819,2852868,0,252871,6145203,26251,35658
0.223884826,34446337,densenet169,5787639,26400909,3189067,351879,243087,4847130,0,34808
0.234056203,30123415,densenet169,3303462,32629080,3299133,285008,250892,6266598,18844,14395
0.244221998,34548363,densenet169,6666522,43340008,852387,206970,247095,5976757,25769,35575
0.254388734,35595422,densenet169,5774976,28829943,3339908,330065,0,0,29963,39543
0.264567553,34509484,densenet169,5989555,27142657,3350925,219860,243458,5614791,0,0
0.274735272,29431486,densenet169,3516267,51331661,3235548,275287,247862,6029458,26750,36124
0.284905965,35438615,densenet169,5878612,30320121,3874787,0,252905,6199087,23349,36387
0.295076441,34975243,densenet169,6030985,29350477,3374906,261852,249437,0,5743,36643
0.305256763,31055268,densenet169,4436349,28775247,3480634,222126,251002,6059155,18318,12735
0.315424574,34817675,densenet169,3262208,52256485,394897,280711,250308,6154507,26018,38380
0.325592535,34407189,densenet169,6080338,28316677,3400465,140391,0,5053826,25926,37572
0.335760544,34896238,densenet169,5888635,28751566,3426081,255740,251806,5491677,7334,16123
0.345949098,29487943,densenet169,3175989,49752310,3241143,242190,250934,6171453,31080,15104
0.356115201,35132373,densenet169,4269304,40107723,654320,139358,251590,6349908,24072,34100
0.366286959,35275813,densenet169,5721813,28618681,3184772,339194,0,0,30738,38274
0.376461306,34493956,densenet169,6012832,27524624,3219272,298139,243458,6168351,0,0
0.386658385,31443637,densenet169,3096819,52705717,2819531,320650,251129,5697929,28394,41367
0.396848171,35509809,densenet169,5653574,29695022,3418112,0,253297,6161693,25092,38757
0.407033076,35111338,densenet169,6129885,30339623,3265698,253769,250291,0,4512,36850
0.417222381,32866561,densenet169,4439537,28096441,3502954,266477,254289,5851268,23908,12411
0.427370556,34863437,densenet169,3643390,57396077,815892,327075,250257,6094835,25819,39229
0.437559997,34403070,densenet169,5672358,26467573,3522014,91604,0,3482841,25902,38408
0.447741974,35499304,densenet169,5949071,29617857,3331060,283784,255721,5649150,4695,14936
0.457924527,31228516,densenet169,3151888,51437287,3232452,229097,250269,6243438,23754,28778
0.468101781,36036180,densenet169,5658399,32283962,2115794,0,257591,5660715,27840,38660
0.478288284,35284133,densenet169,5990986,29700366,3402769,213139,250365,0,5847,36446
0.488468614,0,densenet169,5393855,27996156,3152952,199408,243694,5839135,15709,0
0.498649427,35822072,densenet169,2854794,49708719,561803,311065,257786,6102092,27132,37532
0.508835494,35384603,densenet169,6143596,30565728,3186023,343448,0,6222024,23779,34666
0.51902932,36098413,densenet169,5966497,31104338,3477385,256316,258830,6135563,4383,11977
0.529181568,30843130,densenet169,3373094,37980643,3243337,340308,249771,5923331,25604,32510
0.539372337,34495485,densenet169,5151938,24238887,0,0,244605,5700526,27481,39404
0.549526098,38402782,densenet169,6150870,34881222,3252508,365063,272839,0,9201,31321
0.559741855,30353988,densenet169,4898055,29810847,3296804,216768,250276,6390130,5384,14130
0.569929538,34893018,densenet169,3128325,53517524,1485449,230609,251567,5862006,27986,36977
0.580116124,34455336,densenet169,5486393,25494658,3022858,253971,0,5382575,27593,39754
0.590307525,35282679,densenet169,4241391,21038845,2399930,364411,252526,3741633,5693,11816
0.600504293,31840729,densenet169,3039166,24617530,2511535,301558,252345,4209305,18770,25401
0.610696777,34481762,densenet169,5025539,23622167,0,0,244661,4289740,22795,33925
0.620880976,35572998,densenet169,4934706,24939697,2470186,364297,251426,0,22780,33589
0.631136268,31331389,densenet169,3736176,21218735,2522717,280538,255509,4512884,4544,12217
0.641390179,34175779,densenet169,6029710,76519390,2541713,344520,243136,3862519,17660,27098
0.651577594,32019095,densenet169,3039912,14150006,1464284,0,0,3021615,19986,25671
0.661827469,31506996,densenet169,2220967,13961714,1249383,480604,256483,3750363,2349,7002
0.672053473,0,densenet169,0,7729817,1465133,431183,242758,1868009,10319,21485
0.682297018,24938947,densenet169,1257373,5909326,0,0,245683,2009514,9887,15915
0.69252834,25771325,densenet169,2439780,13212471,1433567,587699,255650,0,3849,13119
0.702855592,0,densenet169,1730863,9349425,1227815,437152,249589,2213508,0,0
0.713331551,24724231,densenet169,0,0,289121,338360,246002,1426905,16243,25938
0.72363087,24591707,densenet169,2110588,9765793,1365393,0,0,2076961,18345,26070
0.733882697,26529483,densenet169,2721781,15129682,1810462,356590,261394,0,3166,9203
0.74421621,0,densenet169,1951174,7848831,1128452,406122,247985,1160497,11026,0
0.754688997,24912927,densenet169,0,0,0,328914,248773,1542749,15033,24198
0.764953722,24429737,densenet169,1977007,9205438,1203436,411605,0,2045380,13067,19071
0.775167563,25031907,densenet169,1932251,11634592,1440135,494381,255752,2466180,4280,9247
0.785417764,0,densenet169,0,10970126,1165253,531139,245880,3145790,15786,26877
0.795868689,24813807,densenet169,1255418,5865692,311529,0,252380,1717107,10154,13797
0.806320066,25646283,densenet169,2623743,14823928,1340367,590851,268221,0,3421,17710
0.816607154,0,densenet169,2429732,13667113,1631036,558096,245760,2733084,17014,0
0.826883529,23474974,densenet169,0,0,0,611827,245712,2099061,11428,15529
0.837081515,24699918,densenet169,2951656,15756566,1461620,472795,0,5707177,14564,21531
0.847337728,24526286,densenet169,2972148,12810021,1672973,584675,244643,2341490,0,0
0.857612962,0,densenet169,0,13041487,2168787,455527,245664,2959588,9211,18227
0.867811896,25628603,densenet169,3214553,20698200,453906,95740,267614,1577126,10821,16110
0.878037462,23408528,densenet169,1873321,8754496,1451287,523676,243947,0,0,21650
0.888363719,22300203,densenet169,2539309,18632216,1762444,567442,262897,3190177,11042,6484
0.898812197,23836951,densenet169,0,0,0,480980,248676,2932609,11733,20313
0.909031686,23326399,densenet169,2255211,10626005,1392826,475031,0,2143713,19286,21381
0.919316647,25230281,densenet169,3365163,18394891,1849071,565653,268969,3201626,3423,8343
