time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010182539,22999648,densenet201,2442919,11352903,975457,420123,243178,2172839,0,0
0.020454886,0,densenet201,0,6664886,883398,498117,250541,2725181,6529,18459
0.030615694,23122930,densenet201,3180216,15026246,1025641,0,243151,1388004,7946,12263
0.040799615,26252861,densenet201,2400993,12290570,1121177,443113,275726,0,0,17281
0.051038188,0,densenet201,1061966,8599329,1067259,565196,243400,2246764,15891,0
0.061352655,23583083,densenet201,0,0,0,416676,248501,1941095,6769,9866
0.071853783,23924864,densenet201,2061462,9794034,1580855,310555,0,531742,11014,19924
0.082256513,23816674,densenet201,1203440,8420385,1236573,489719,245702,2803852,0,0
0.09250324,0,densenet201,0,11241989,1545960,452686,245143,1803061,8959,11559
0.102886523,23499546,densenet201,2075302,9767161,2146632,0,247313,2769195,12052,15773
0.113174222,23566998,densenet201,1877835,8868041,1428350,545230,246413,0,0,17384
0.123461653,0,densenet201,2766478,17140911,1626081,455738,245445,2877389,12757,0
0.133730607,23408160,densenet201,0,0,0,528186,245513,2510507,13671,19842
0.143978218,23424766,densenet201,2753526,12865264,1356907,501627,0,3275138,16659,18523
0.154266234,25810133,densenet201,2233721,14592660,1676995,459611,276657,3595289,0,0
0.164791027,0,densenet201,0,1945355,1234561,606452,249735,2303383,14138,15020
0.175076354,23485081,densenet201,1552315,7214490,1275924,0,243642,3085049,14506,17609
0.185367984,23504073,densenet201,2873768,13964959,1419179,499196,244941,0,0,12452
0.195582045,0,densenet201,3142355,8902973,1399739,576290,244014,1815549,18406,0
0.205829071,23441324,densenet201,0,0,0,426012,245862,2591106,11849,15423
0.216105195,25634170,densenet201,2235565,11906958,1314545,496742,269450,1644898,11442,15601
0.226366773,0,densenet201,0,15319579,1518090,479322,247053,2561653,14228,0
0.236634306,23441888,densenet201,3256501,15106917,0,567743,244074,2210960,14841,18815
0.246882421,23896589,densenet201,2470588,12386661,1432453,509493,241971,0,8398,13574
0.257147651,0,densenet201,3605420,14974038,1776915,434500,238578,2367573,0,0
0.26743006,24128580,densenet201,0,0,1456726,555779,242805,2545909,12289,13421
0.277668025,26246467,densenet201,1968595,11388855,1275102,105722,0,1911657,11910,16929
0.287964399,23970817,densenet201,2899932,12520805,1561956,455656,243267,1448324,0,19237
0.298326919,0,densenet201,0,6451431,1283415,456342,241246,1385003,10485,0
0.308586069,23391995,densenet201,1070780,5035217,0,478539,242501,2302476,8145,12806
0.318957492,23979051,densenet201,1650336,8795811,1134593,387145,245896,0,8383,15590
0.329228706,0,densenet201,1583206,6471748,703152,303096,243724,1367144,0,0
0.33962545,0,densenet201,0,0,345372,406322,238734,1246038,13601,16647
0.349895629,19883734,densenet201,1049894,4963700,0,0,240566,752354,8652,12495
0.360164079,20026140,densenet201,1382516,6379097,804675,329920,241433,0,16357,17007
0.370565267,19345708,densenet201,1980086,10017676,941415,310859,255406,1459326,2790,10752
0.381097357,18437356,densenet201,0,0,0,349270,244359,980392,6802,9865
