time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.01020099,23654961,inception_v3,2849768,12962373,1100245,483496,243116,2328272,0,0
0.020438203,0,inception_v3,0,0,797074,448414,247769,4182872,6943,20885
0.030639747,27039026,inception_v3,2166510,11174475,818601,0,275227,2809141,9768,29828
0.040936227,24638076,inception_v3,3662454,17421279,1666844,440978,245674,0,0,13848
0.051203095,0,inception_v3,2950260,14597490,1431447,573054,243976,2313301,17622,0
0.061412309,24297849,inception_v3,1498340,7139038,0,594899,244447,3003154,13820,19217
0.071642912,24433695,inception_v3,3232621,15635005,2181704,306741,0,0,11922,18513
0.081855116,24423348,inception_v3,3312782,15159068,1910662,353027,242892,3020617,0,0
0.092063789,21363987,inception_v3,2852816,39039432,2235747,376076,248924,3946789,19985,28999
0.102271653,26812903,inception_v3,4193856,19503433,2145949,0,244923,2943971,15920,22561
0.112475496,27506557,inception_v3,4152974,19691612,2575024,275114,244172,0,0,27530
0.122641857,32752260,inception_v3,3104585,34444423,2913856,363169,280431,5646986,9232,6677
0.132830905,29417699,inception_v3,0,0,0,347236,244134,4547796,22385,29121
0.143044034,29461967,inception_v3,4971148,23751596,2894544,291885,0,3542143,20759,29995
0.15323245,29458739,inception_v3,4997307,24148401,2747054,291858,243186,5131577,0,0
0.163411518,28221805,inception_v3,2397006,47896366,3484197,321670,262557,4920943,18640,24536
0.173586949,30361009,inception_v3,5019381,23254899,2093998,0,244217,4884263,24188,31594
0.183774396,30430962,inception_v3,4475557,21550560,2658202,497112,242891,0,0,26160
0.193948061,27095742,inception_v3,3990620,27341132,2804177,360885,257648,5379946,7296,8657
0.204156288,31453293,inception_v3,2627001,48733893,2441787,356899,266266,5145292,24015,25586
0.214350688,30426453,inception_v3,4923291,22865496,2820479,0,244589,5077024,24756,31396
0.224549967,30515011,inception_v3,5238882,24710744,2933049,252601,244223,0,0,28705
0.234751423,28109564,inception_v3,3899245,25489276,2846324,304884,247402,5324512,25302,14045
0.244937787,32457828,inception_v3,0,0,0,311062,243977,5564638,25388,34526
0.255155928,32936410,inception_v3,5417801,25854937,3433455,194051,0,3985408,22152,34374
0.265312833,34814853,inception_v3,5703583,29663193,3134385,355948,258705,5223288,0,8558
0.275499875,28364632,inception_v3,4057342,55572397,2872878,318038,247661,5772062,27663,37647
0.285690792,34687886,inception_v3,5684512,31808690,2131058,0,255382,6064987,26482,34740
0.295880308,35938859,inception_v3,5676074,29886700,2941237,370148,262942,0,0,26281
0.306077532,0,inception_v3,6976816,25641997,3233135,241991,243765,5737165,19618,0
0.316257993,34509642,inception_v3,4360086,59717581,931500,376066,244778,5704371,28260,39249
0.326439783,34745265,inception_v3,5923507,28695427,3326930,262818,0,5602975,27376,37192
0.336626792,34510517,inception_v3,5826854,28350847,3306574,264755,243653,6174928,0,0
0.346816763,34013683,inception_v3,3013737,47333933,3069581,330736,259002,6159664,26677,28824
0.357002528,34673565,inception_v3,5748168,29110386,706154,0,246969,5878306,27902,37093
0.367191696,36042790,inception_v3,5654338,29024236,3257075,340544,0,0,20071,38421
