time,cycles,label,branches,instructions,cache-reference,cache-misses,bus-cycles,branch-loads,iTLB-load-misse,dTLB-load-misse
0.010172238,29749420,vgg16,3047369,14268808,1291797,553476,244938,2978685,0,0
0.020326239,0,vgg16,0,0,1763791,473302,256779,5092860,14194,31364
0.030528789,30751517,vgg16,4149236,19753482,3066607,0,246488,2760336,17142,33689
0.040725309,30922485,vgg16,4502390,21453801,2584273,530662,255269,2679261,5097,23049
0.051016684,0,vgg16,1159181,21842460,2447365,594823,263666,4283246,17107,9670
0.061232419,36331568,vgg16,5318158,25117212,0,596887,297318,4096751,19466,26906
0.071448138,43846219,vgg16,7367443,34578126,3831976,0,358685,3449644,19880,29427
0.081612845,76225465,vgg16,8143674,86918567,5110417,611200,613610,5545774,5898,22844
0.091786338,53921296,vgg16,5265923,48409943,3462867,619185,445458,10989547,5642,10931
0.102084186,82501746,vgg16,5083752,73265007,2785806,982130,655641,12790758,15329,9330
0.112279684,165156825,vgg16,9997812,165350014,1748522,1451493,1288496,16879666,114879,8791
0.122504866,0,vgg16,10640514,206588041,1240620,848073,1154064,10552944,55952,140057
0.13286171,71796315,vgg16,14119980,64926305,844595,492952,560905,5846088,28382,63718
0.143102392,140728345,vgg16,18059431,85001763,14313113,743397,1127785,8118437,14137,33308
0.153293009,163608129,vgg16,10705904,67243654,13310478,4829665,1316210,10771475,8782,19928
0.163533291,114667006,vgg16,9140736,148098554,4215095,1388881,939391,12818336,4766,8319
0.173960329,78186015,vgg16,3270217,23649524,3067360,915052,614703,11568259,22691,12513
0.184156137,152649141,vgg16,12180448,262750020,852896,490686,1200147,23640577,117239,8070
0.194393175,206577167,vgg16,15897117,338113119,1161806,537740,1590659,16178484,6168,10251
0.204620615,232597818,vgg16,17430717,370817284,1147948,559190,1784088,17665251,6612,7267
0.214862723,242528427,vgg16,18476343,391455531,1217420,581553,1863745,17892212,6888,7446
0.225095766,251880207,vgg16,19552224,413669263,1261810,568964,1902479,19463240,7389,8153
0.235307841,254100335,vgg16,19624538,415968817,1228537,572986,1922051,19665766,7264,7631
0.245520034,253076046,vgg16,19724331,415714307,1242093,575480,1924088,19580986,7291,7583
0.25572742,252154497,vgg16,19756749,418805416,1226858,576145,1920770,19574521,7374,7707
0.265957794,242050631,vgg16,19152012,405039213,1262458,559991,1836968,19134077,7181,8092
0.27618478,207753826,vgg16,16081599,346532220,1258737,500684,1584776,16603811,6150,6728
0.286425457,224644273,vgg16,17701293,373677520,1205002,572486,1765234,17289695,6777,7280
0.296681115,202450156,vgg16,15021905,320127421,1084869,480411,1560964,14913259,5720,6822
0.306957637,215060349,vgg16,16661267,353753777,1190238,506646,1637453,16978999,6178,7438
0.317316146,206573002,vgg16,16080853,336704323,1167900,534841,1617066,15836713,6129,6472
0.327622942,189825144,vgg16,14111469,297133961,1026094,482940,1458482,14878138,5553,6074
0.340372833,204603906,vgg16,14752758,312898589,844773,514346,1586843,16160990,6009,6217
0.350974215,83617159,vgg16,5992728,124284387,304641,211171,614911,5638315,2191,2470
0.36124938,30729668,vgg16,3308324,68784090,140607,129153,248951,2644692,1819,1690
0.371620747,151405629,vgg16,6148010,37727775,2612914,1620681,1342799,6393874,19377,23257
0.392308112,316421846,vgg16,14786640,92277547,6151952,3744410,3155012,14244156,29856,43670
0.403007953,164905947,vgg16,8067643,49393380,3448556,2007356,1658688,8067752,14774,26200
0.413670832,136471203,vgg16,7352582,45133285,3241317,1884417,1364548,7370044,11228,23153
0.42418312,168772028,vgg16,7245316,44492077,3076331,1882039,1694424,7323937,11936,23792
0.434686799,163975988,vgg16,7110904,42245204,2849748,1747544,1638216,6458266,10999,21429
0.445149958,177112074,vgg16,9433533,57762426,4180159,2338249,1776208,9310070,15817,30125
0.455540919,136301757,vgg16,6763759,40799860,2743717,1675106,1363065,6422708,11765,20590
0.465880855,125142929,vgg16,6153025,36143860,2301975,1442212,1258943,5426491,18338,26440
0.476292523,157105212,vgg16,8090718,49779555,3304493,1941009,1582317,7740296,13267,25470
0.486864458,150946445,vgg16,8152928,49510845,3534782,2092370,1518012,8494918,14046,26791
0.497628504,163435625,vgg16,8040700,48234720,3554179,2107698,1627510,8044261,12392,24286
0.508029004,120014563,vgg16,6328961,39045342,2726380,1606552,1215493,6595488,19219,23410
0.518439432,156728893,vgg16,8077192,49373300,3543444,2059907,1568082,8185489,16562,25804
0.528814537,134360227,vgg16,6934351,42473531,2805198,1709633,1352161,6548400,10956,20789
0.539253413,163005413,vgg16,7898850,47800141,3169062,1932594,1634792,7043479,12342,23199
0.549784018,120737357,vgg16,7389134,45314676,3124139,1614323,1190532,6680046,12308,23825
0.560373603,44383411,vgg16,2452261,15183419,928640,593047,434214,13891279,840,1642
0.57061216,24321640,vgg16,7084938,49321168,457918,348506,0,8016429,23,375
0.580924848,24639640,vgg16,6864839,44272273,447914,335656,244155,5765233,0,0
0.591136311,0,vgg16,0,0,473478,351187,244134,6079105,24,278
0.601446418,24544341,vgg16,2342533,10969910,323844,0,249049,4950690,10211,11754
0.61725786,117518265,vgg16,8324203,158919348,1415389,587490,1238453,9000490,3694,22747
0.640864394,386798189,vgg16,29423259,612054106,1988237,948370,3606565,28884296,11351,14047
0.657647292,236154818,vgg16,14664897,239568922,3097367,1677462,2050382,15485483,11738,23844
0.668340149,123341485,vgg16,5421483,33201302,2160907,1395174,1216780,5437939,7895,17340
0.678937638,105924253,vgg16,4281043,28049818,1920841,1249219,1073271,4777332,7403,15395
0.689352781,146891640,vgg16,6028700,36433552,2297786,1474029,1464974,5492762,8977,18344
0.699691508,31278775,vgg16,3013566,41334499,780774,510595,322618,5892962,3221,6791
0.709990613,0,vgg16,0,0,784719,390631,234450,947598,7782,0
0.720374034,20866304,vgg16,0,0,0,547196,244689,1746829,8557,11500
0.730881729,125900399,vgg16,9645897,209000005,641182,341267,1397622,9137902,4903,6368
0.74123953,101208937,vgg16,6034425,63377606,2107063,1311504,1059621,5267604,10581,18039
0.751684664,43327344,vgg16,3005611,17808360,1244221,622779,444846,3724178,13301,17898
0.761965223,23484234,vgg16,1667346,7766837,1217754,385549,244086,1612045,0,16793
0.772201082,0,vgg16,0,14829204,1196839,183628,244520,1817495,302,0
0.782407381,24719791,vgg16,281444,41154419,0,70912,244391,278974,290,1112
0.792693789,26348482,vgg16,295152,42609807,532225,111452,80460,0,224,999
0.803121296,27406162,vgg16,298579,43819541,543851,110790,245928,307010,0,0
0.813344586,23591100,vgg16,0,0,576854,129923,242603,278687,132,138
0.823560469,25168887,vgg16,265972,38802914,326991,0,0,303931,194,159
0.834033526,24917513,vgg16,271101,39143201,414277,111770,248668,260982,0,122
0.844378571,0,vgg16,0,36036103,424825,110947,246863,247443,117,0
0.854612703,24363823,vgg16,252641,38396495,0,97098,243914,259033,104,485
0.864849672,24429489,vgg16,270310,38515358,506313,96955,200232,0,109,586
0.875219761,0,vgg16,259910,38600204,479050,111598,249814,268100,0,0
0.885635151,23530543,vgg16,0,0,429551,98777,246615,265631,178,312
0.895891919,24467441,vgg16,277253,40473429,341497,0,0,253873,162,198
0.906158614,24795876,vgg16,290543,42128319,349019,126856,244564,298665,0,152
0.916391167,0,vgg16,0,39498515,359751,107208,244190,306757,141,0
0.926610993,26436810,vgg16,321260,46592059,0,156030,243657,288869,124,172
0.936811679,28164587,vgg16,327065,47133501,410381,144942,146274,0,127,179
0.947022373,18264170,vgg16,295611,45124273,386417,128799,241442,322815,0,0
0.957195563,26716700,vgg16,0,0,392615,129484,242038,313593,99,156
0.96748528,28609043,vgg16,343221,49756386,388794,0,0,325955,138,186
0.977937716,28992417,vgg16,323769,46900274,415277,136952,246511,316378,0,263
0.988159397,0,vgg16,0,47389500,398199,129978,242497,321357,238,0
0.998387829,27960167,vgg16,346104,50677401,0,125542,244088,319739,121,159
1.00861596,28192869,vgg16,309127,45232113,425107,124739,0,0,119,277
1.018880589,28398857,vgg16,315219,47567942,448742,119750,243897,333147,0,0
1.029105908,26991766,vgg16,0,0,501912,129929,243720,321425,215,246
1.039424327,28265612,vgg16,292645,42361385,368220,0,0,318199,195,232
1.049607302,26660636,vgg16,317260,46332696,393587,114341,242550,326607,0,189
1.059854199,0,vgg16,0,43128098,431077,137936,244211,303258,123,0
1.070054211,26200713,vgg16,293127,44153144,0,110948,240767,294921,198,591
1.080289747,26225203,vgg16,300200,43490963,380797,102987,0,0,193,222
1.090572494,27684734,vgg16,313311,45690187,419924,127925,246026,312380,0,0
1.100938981,23639540,vgg16,0,0,371802,126639,246500,308790,132,185
1.111242579,26583159,vgg16,298323,43273442,373611,0,0,295631,140,194
1.121444152,26358900,vgg16,293921,42804621,393842,133511,242892,332128,0,146
1.131696223,0,vgg16,0,40174249,364494,110060,243602,295139,161,0
1.141896687,26254343,vgg16,291492,40986227,0,91344,242449,288190,132,152
1.15210983,26375724,vgg16,302376,43966819,409042,145191,0,0,103,190
1.162345338,26515247,vgg16,306574,43573688,383877,123998,243626,300029,0,0
1.172569815,0,vgg16,0,0,381730,120548,242785,304597,232,161
1.18281701,26971767,vgg16,332091,48147908,418031,0,245359,293306,193,231
1.193059757,27826561,vgg16,304644,44154280,405856,128471,241988,264902,0,359
1.203309987,0,vgg16,0,48562754,381454,123380,243608,325495,117,0
1.213562365,27305318,vgg16,295873,41026926,0,139474,244927,310656,172,478
1.223819163,27941513,vgg16,317606,46328646,417752,134886,0,0,313,328
1.234094792,27657206,vgg16,302091,46252994,367974,124612,244957,323742,0,0
1.244354282,0,vgg16,0,0,586520,115668,244836,313088,263,1036
1.254616753,29278254,vgg16,286833,41684523,513704,0,247903,346734,251,715
1.264984173,28369909,vgg16,319552,46293262,548014,107347,244339,332334,0,558
1.275213646,0,vgg16,0,46215878,391402,132168,243650,325519,126,0
1.285409038,29385234,vgg16,320470,52555623,0,112284,244374,347940,126,223
1.295571174,29761386,vgg16,361421,52416500,418110,98822,0,0,132,170
1.305713713,30342518,vgg16,376105,54750674,442034,99786,241889,381799,0,0
1.315837417,0,vgg16,0,0,438000,104143,241882,409328,146,202
1.325958933,34283225,vgg16,423237,61211210,482622,0,242729,423020,147,207
1.336106296,34393071,vgg16,418461,61360480,466827,104192,243159,0,0,203
1.346247651,0,vgg16,450597,61179135,475394,105664,243010,420291,161,0
1.356393925,34379124,vgg16,0,0,0,105152,242193,413951,147,204
1.366544438,34381863,vgg16,411909,59825770,436286,101433,0,416372,16,365
1.376700295,34444440,vgg16,415177,60118039,429199,101902,243878,412106,0,0
1.386867694,0,vgg16,0,61515132,427060,101448,243239,409522,20,211
1.397003954,34333770,vgg16,414850,59968997,566015,0,243334,413897,131,201
1.407156399,34414494,vgg16,413149,60200070,431074,102114,243223,0,0,192
1.417301692,0,vgg16,411081,60200062,433036,101841,243138,414543,244,0
1.427445529,34366374,vgg16,0,0,0,99803,243309,412982,146,200
1.437588648,34362705,vgg16,412184,60148920,432167,100272,0,403748,141,194
1.447738508,34424538,vgg16,413974,60141964,434835,101739,243267,411015,0,0
1.457881872,0,vgg16,0,57989803,443281,102042,243102,413818,151,225
1.468028619,34386012,vgg16,410124,60129133,0,0,243569,413047,148,198
1.478174152,34376715,vgg16,412000,60163995,435099,100579,242759,0,170,199
1.48832567,0,vgg16,422597,60137666,439487,102088,243401,410097,0,0
